RTO Loc,RTO Code
Boudh,OD-27
Debagarh,OD-28
Kendrapada,OD-29
Malkangiri,OD-30
Sonepur,OD-31
Bhanjanagar,OD-32
Bhubaneswar-II,OD-33
Jajpur,OD-34
,
Ajmer,RJ-01
Alwar,RJ-02
Banswara,RJ-03
Barmer,RJ-04
Bharatpur,RJ-05
Bhilwara,RJ-06
Bikaner,RJ-07
Bundi,RJ-08
Chittaurgarh,RJ-09
Churu,RJ-10
Dholpur,RJ-11
Dungarpur,RJ-12
Sri Ganganagar,RJ-13
Jaipur,RJ-14
Jaisalmer,RJ-15
Jalore,RJ-16
Jhalawar,RJ-17
Jhunjhunu,RJ-18
Jodhpur,RJ-19
Kota,RJ-20
Nagaur,RJ-21
Pali,RJ-22
Sikar,RJ-23
Sirohi,RJ-24
Sawai Madhopur,RJ-25
Tonk,RJ-26
Udaipur,RJ-27
Baran,RJ-28
Dausa,RJ-29
Rajsamand,RJ-30
Hanumangarh,RJ-31
Kotputli,RJ-32
"Ramganj Mandi, Kota",RJ-33
Karauli,RJ-34
Pratapgarh,RJ-35
Beawar,RJ-36
Didwana,RJ-37
"Rawatbhata, Kota",RJ-38
"Balotra, Barmer",RJ-39
"Bhiwadi, Alwar",RJ-40
"Chomu, Jaipur",RJ-41
"Kishangarh, Ajmer",RJ-42
"Phalodi, Jodhpur",RJ-43
"Sujangarh, Churu",RJ-44
Jaipur,RJ-45
"Abu road, Sirohi",RJ-46
"Dudu, Jaipur",RJ-47
"Kekri, Ajmer",RJ-48
"Nohar, Hanumangarh",RJ-49
"Nokha, Bikaner",RJ-51
"Shahpura, Bhilwara",RJ-52
"Shahpura, Jaipur",RJ-53
,
CHENNAI (CENTRAL),TN-01
CHENNAI(NORTH-WEST),TN-02
CHENNAI(NORTH EAST),TN-03
CHENNAI(EAST),TN-04
CHENNAI(NORTH),TN-05
CHENNAI(SOUTH-EAST),TN-06
RTO CHENNAI(SOUTH),TN-07
CHENNAI (WEST),TN-09
CHENNAI(SOUTH-WEST),TN-10
TAMBARAM,TN-11
POONAMALLE,TN-12
AMBATTUR,TN-13
SHOLINGANALLUR,TN-14
ULUNDURPET,TN-15
KALLAKURICHI,TN-15Z
TINDIVANAM,TN-16
GINGEE,TN-16Z
REDHILLS,TN-18
GUMIDIPOONDI,TN-18Y
CHENGALPATTU,TN-19
MADURANTAKAM,TN-19Z
THIRUTHANI,TN-20
KANCHEEPURAM,TN-21
SRIPERUMBUDUR,TN-21W
MEENAMBAKKAM,TN-22
VELLORE,TN-23
GUDIYATHAM,TN-23T
KRISHNAGIRI,TN-24
TIRUVANNAMALAI,TN-25
CHEYYAR,TN-25Y
ARANI,TN-25Z
NAMAKKAL (NORTH),TN-28
RASIPURAM,TN-28Z
DHARMAPURI,TN-29
PALACODE,TN-29W
HARUR,TN-29Z
SALEM(WEST),TN-30
OMALUR,TN-30W
CUDDALORE,TN-31
PANRUTI,TN-31Z
VILLUPURAM,TN-32
ERODE-EAST,TN-33
TIRUCHENCODE,TN-34
GOBICHETTIPALAYAM,TN-36
BHAVANI,TN-36W
SATHIYAMANGALAM,TN-36Z
COIMBATORE(SOUTH),TN-37
SULUR,TN-42Y
COIMBATORE-NORTH,TN-38
TIRUPPUR(NORTH),TN-39
AVINASHI,TN-39Z
METTUPALAYAM,TN-40
POLLACHI,TN-41
VALPARAI,TN-41W
TIRUPUR (SOUTH),TN-42
KANGAYAM,TN-42Y
OOTY,TN-43
GUDALUR,TN-43Z
TIRUCHIRAPALLI (WEST),TN-45
MANAPPARAI,TN-45Z
PERAMBALUR,TN-46
RTO KARUR,TN-47
UO MANMANGALAM,TN-47X
ARAVAKURICHI,TN-47Y
KULITHALAI,TN-47Z
SRIRANGAM,TN-48
UO LALGUDI,TN-48X
UO MUSIRI,TN-48Y
THURAIYUR,TN-48Z
THANJAVUR,TN-49
PATTUKOTTAI,TN-49Y
THIRUVARUR,TN-50
THIRUTHRAIPOONDI,TN-50Y
MANNARGUDI,TN-50Z
NAGAPATTINAM,TN-51
SANGARI,TN-52
METTUR,TN-52Z
SALEM (EAST),TN-54
PUDUKOTTAI,TN-55
ILLUPPUR,TN-55Y
ARANTHANGI,TN-55Z
PERUNDURAI,TN-56
DINDIGUL,TN-57
OTTANCHATRAM,TN-57R
VADASANDUR,TN-57V
BATALAGUNDU,TN-57Y
PALANI,TN-57Z
MADURAI(SOUTH),TN-58
USILAMPATTI,TN-58Y
THIRUMANGALAM,TN-58Z
MADURAI(NORTH),TN-59
VADIPATTI,TN-59V
MELUR,TN-59Z
THENI,TN-60
UTHAMAPALAYAM,TN-60Z
ARIYALUR,TN-61
SIVAGANGA,TN-63
KARAIKUDI,TN-63Z
MADURAI (CENTRAL),TN-64
RAMANATHPURAM,TN-65
PARAMAKUDI,TN-65Z
COIMBATORE (CENTRAL),TN-66
VIRUDHUNAGAR,TN-67
ARUPPUKOTTAI,TN-67W
KUMBAKONAM,TN-68
TUTICORIN,TN-69
KOVILPATTI,TN-69Z
HOSUR,TN-70
TIRUNELVELI,TN-72
UNIT OFFICE - VALLIOOR,TN-72V
RANIPET,TN-73
ARAKONAM,TN-73Z
NAGERCOIL,TN-74
MARTHANDAM,TN-75
TENKASI,TN-76
AMBASAMUTHIRAM,TN-76V
ATTUR,TN-77
VALAPADI,TN-77Z
DHARAPURAM,TN-78
UDUMALPET,TN-78Z
SANKARANKOIL,TN-79
TIRUCHIRAPALLI (EAST),TN-81
THIRUVERUMBUR,TN-81Z
"RTO, MAYILADUTHURAI",TN-82
SIRKALI,TN-82Z
VANIYAMBADI,TN-83
AMBUR,TN-83Y
THIRUPATTUR,TN-83Z
SRIVILIPUTHUR,TN-84
SIVAKASI,TN-84Z
KUNDRATHUR,TN-85
RTO ERODE (WEST),TN-86
SRIPERUMBUDUR,TN-87
NAMAKKAL (SOUTH),TN-88
PARAMATHI VELUR,TN-88Z
SALEM(SOUTH),TN-90
CHIDAMBARAM,TN-91
NEYVELI,TN-91Y
VRIDDHACHALAM,TN-91Z
TIRUCHENDUR,TN-92
METTUR,TN-93
,
Saharanpur,UP-11
Muzaffarnagar,UP-12
Bulandshahr,UP-13
Ghaziabad,UP-14
Meerut,UP-15
Noida,UP-16
Bagpat,UP-17
Greater Noida,UP-18
Shamli,UP-19
Bijnor,UP-20
Moradabad,UP-21
Rampur,UP-22
Jyotiba Phule Nagar,UP-23
Badaun,UP-24
Bareilly,UP-25
Pilibhit,UP-26
Shahjahanpur,UP-27
Ayodhya,UP-28
Yusuf,UP-29
Hardoi,UP-30
Kheri,UP-31
Lucknow,UP-32
Raebareli,UP-33
Sitapur,UP-34
Unnao,UP-35
Amethi district,UP-36
